,assessment_date,county,sub-county,location_type,households_in_location,households_departed,departure_date,1st_reason_for_departure,2nd_reason_for_departure,3rd_reason_for_departure,households_pastoralism_drop,pastoralism_drop_date,1st_reason_to_drop,2nd_reason_to_drop,3rd_reason_to_drop,households_arrived,arrival_date,country_arrived_from,sub-county_arrived_from,1st_reason_for_departure_from_origin,2nd_reason_for_departure_from_origin,3rd_reason_for_departure_from_origin,households_returned,country_returned_from,sub-county_returned_from,1st_reason_for_returning,2nd_reason_for_returning,livelihood_1,households_livelihood_1,livelihood_2,households_livelihood_2,livelihood_3,households_livelihood_3,1st_challenge,2nd_challenge,3rd_challenge,1st_health_concern,2nd_health_concern,3rd_health_concern,functional_watersources,watersource_distance,water_queue_time,percent_drinkingwater_access,percent_cookingwater_access,educational_facility,students,school_dropouts,safety_concerns
355,2022-10-26,Turkana,Turkana West,Sub Location Village Unit,1000,100,Before 2020,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,200,Before 2020,Banditry,Lack Of Water And Pasture,Drought,30,Before 2020,Kenya,Garissa/Township,Drought,Resource-Based Conflict,Resource-Based Conflict,57,Kenya,Turkana West,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Pastoralism,800,Other,800,Trade,50,Environmental Challenges,Safety And Security,Lack Of Food And Water,Malaria,Pneumonia,Injury,1,50,10,25,25,No,5,50,Weather
356,2022-10-28,Turkana,Turkana West,Sub Location Village Unit,160,70,Before 2020,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,Before 2020,Drought,Animal Disease,Lack Of Water And Pasture,20,Before 2020,Kenya,Turkana West,Drought,Resource-Based Conflict,Drought,10,Kenya,Turkana West,Wanted Or Needed To Rejoin Family,Have Not Found Assistance,Pastoralism,160,Agro Pastoralism,0,Other,100,Environmental Challenges,Safety And Security,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,0,50,10,0,0,No,0,0,Weather
357,2022-10-29,Turkana,Turkana South,Sub Location Village Unit,802,0,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,582,2020 To 2022,Drought,Banditry,Banditry,581,2020 To 2022,Kenya,Kibish,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,0,Other,Other,Drought,Wanted Or Needed To Rejoin Family,Pastoralism,783,Trade,9,Employment (Includes Public And Private Sectors),4,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,No Additional Challenge,No Additional Challenge,1,10,50,75,75,Yes,4,15,Weather
358,2022-10-28,Turkana,Turkana East,Other,1423,60,Before 2020,Drought,Ethnic Clashes,Resource-Based Conflict,1000,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,1350,Before 2020,Kenya,Sigor,Resource-Based Conflict,Ethnic Clashes,Resource-Based Conflict,680,Kenya,Baringo/North,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,1000,Farming,216,Trade,160,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Pneumonia,Diarrhea,1,50,10,25,25,No,5,200,Lack Of Security
359,2022-10-28,Turkana,Turkana East,Urban Settlement Or Town,1706,56,Before 2020,Drought,Ethnic Clashes,Resource-Based Conflict,35,Before 2020,Drought,Lack Of Water And Pasture,Banditry,155,2020 To 2022,Kenya,Samburu/North,Drought,Ethnic Clashes,Resource-Based Conflict,43,Kenya,Laikipia/East,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,820,Agro Pastoralism,17,Trade,160,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Tuberculosis,Pneumonia,2,50,10,25,25,Yes,1687,87,Lack Of Security
360,2022-10-28,Turkana,Turkana South,Sub Location Village Unit,1700,50,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,100,2020 To 2022,Drought,Banditry,Lack Of Water And Pasture,30,2020 To 2022,Kenya,Kiambu,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,700,South Sudan,Other,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,1600,Trade,100,Other,0,Lack Of Food And Water,Loss Of Livelihood,Safety And Security,Acute Malnutrition,No Additional Challenge,No Additional Challenge,2,50,50,25,25,Yes,25,50,Lack Of Privacy
361,2022-10-28,Turkana,Turkana East,Sub Location Village Unit,834,379,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,310,Before 2020,Drought,Lack Of Water And Pasture,Banditry,70,2020 To 2022,Kenya,Tiaty,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,12,Kenya,Turkana East,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,800,Trade,21,Other,7,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Pneumonia,Diarrhea,2,26,26,25,25,Yes,374,128,Lack Of Security
362,2022-10-27,Turkana,Turkana Central,Sub Location Village Unit,3550,300,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,200,Before 2020,Animal Disease,Lack Of Water And Pasture,Drought,234,2020 To 2022,Other,Other,Drought,Resource-Based Conflict,Resource-Based Conflict,100,Other,Other,Drought,Wanted Or Needed To Rejoin Family,Pastoralism,2700,Trade,3000,Other,1366,Environmental Challenges,Loss Of Livelihood,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,50,75,75,Yes,2300,600,Lack Of Basic Services Water Electricity Etc
363,2022-10-27,Turkana,Turkana East,Sub Location Village Unit,3500,0,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,0,2020 To 2022,Drought,Resource-Based Conflict,Banditry,24,2020 To 2022,Kenya,Turkana South,Drought,Resource-Based Conflict,Resource-Based Conflict,0,Other,Other,Drought,Resource-Based Conflict,Pastoralism,2000,Farming,20,Trade,1000,Safety And Security,Ethnic Conflicts,Lack Of Food And Water,Malaria,Pneumonia,Injury,3,38,26,50,25,Yes,1001,230,Lack Of Security
364,2022-10-29,Turkana,Turkana North,Sub Location Village Unit,311,48,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,10,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,5,Before 2020,Kenya,Turkana Central,Drought,Resource-Based Conflict,Ethnic Clashes,15,Kenya,Turkana North,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,85,Trade,10,Employment (Includes Public And Private Sectors),5,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,0,50,50,25,25,Yes,24,8,Weather
365,2022-10-27,Turkana,Turkana West,Urban Settlement Or Town,2200,300,2020 To 2022,Flash Floods Or Seasonal Floods,Drought,Ethnic Clashes,80,2020 To 2022,Banditry,Lack Of Water And Pasture,Drought,1000,2020 To 2022,Kenya,Turkana West,Drought,Resource-Based Conflict,Resource-Based Conflict,50,South Sudan,Other,Have Not Found Assistance,Have Not Found Assistance,Pastoralism,1700,Trade,300,Farming,200,Lack Of Food And Water,Environmental Challenges,Safety And Security,Malaria,Tuberculosis,Acute Malnutrition,2,50,38,25,25,Yes,700,50,Weather
366,2022-10-29,Turkana,Turkana West,Sub Location Village Unit,289,50,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,50,Before 2020,Drought,Animal Disease,Lack Of Water And Pasture,15,2020 To 2022,Kenya,Turkana West,Drought,Resource-Based Conflict,Ethnic Clashes,10,Uganda,Other,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,150,Agro Pastoralism,140,Employment (Includes Public And Private Sectors),10,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,No Additional Challenge,No Additional Challenge,0,26,26,25,25,No,10,5,Weather
367,2022-10-28,Turkana,Loima,Sub Location Village Unit,260,30,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,60,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,10,2020 To 2022,Kenya,Loima,Drought,Resource-Based Conflict,Fires,40,Kenya,Loima,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,200,Agro Pastoralism,20,Other,30,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,Typhoid,Tuberculosis,1,50,26,50,75,Yes,200,20,Weather
368,2022-10-29,Turkana,Turkana West,Sub Location Village Unit,220,70,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,45,2020 To 2022,Drought,Banditry,Banditry,30,2020 To 2022,Kenya,Turkana West,Drought,Ethnic Clashes,Resource-Based Conflict,0,Other,Other,Drought,Resource-Based Conflict,Other,156,Pastoralism,45,Trade,19,Lack Of Food And Water,Safety And Security,Lack Of Access To Essential Services,Malaria,Pneumonia,Scabies,0,38,10,100,50,No,5,6,Lack Of Security
369,2022-10-29,Turkana,Turkana South,Sub Location Village Unit,564,6,2020 To 2022,Drought,Drought,Fires,380,2020 To 2022,Drought,Resource-Based Conflict,Lack Of Water And Pasture,12,2020 To 2022,Kenya,Turkana West,Drought,Resource-Based Conflict,Resource-Based Conflict,172,Kenya,Turkana North,Drought,Flash Floods Or Seasonal Floods,Pastoralism,392,Trade,19,Other,411,Loss Of Livelihood,Environmental Challenges,Lack Of Food And Water,Malaria,Measles,Pneumonia,1,50,50,75,75,Yes,2,4,Weather
370,2022-10-29,Turkana,Turkana South,Sub Location Village Unit,458,9,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,340,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,5,2020 To 2022,Kenya,Turkana North,Drought,Resource-Based Conflict,Resource-Based Conflict,113,Kenya,Turkana North,Have Not Found Assistance,Drought,Pastoralism,229,Trade,50,Other,179,Loss Of Livelihood,No Additional Challenge,No Additional Challenge,Malaria,Pneumonia,Typhoid,1,50,50,75,75,Yes,4,5,Weather
371,2022-10-28,Turkana,Turkana South,Sub Location Village Unit,550,50,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,30,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,0,2020 To 2022,Other,Other,Drought,Flash Floods Or Seasonal Floods,Ethnic Clashes,247,Sudan,Other,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,515,Trade,30,Employment (Includes Public And Private Sectors),5,Resource Based Conflict,Lack Of Food And Water,Loss Of Livelihood,Acute Malnutrition,No Additional Challenge,No Additional Challenge,1,50,50,25,25,Yes,2,2,Lack Of Privacy
372,2022-10-28,Turkana,Turkana South,Sub Location Village Unit,900,59,2020 To 2022,Drought,Resource-Based Conflict,Ethnic Clashes,270,Before 2020,Drought,Banditry,Animal Disease,2,2020 To 2022,Uganda,Other,Drought,Resource-Based Conflict,Resource-Based Conflict,80,Kenya,Cherangany,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Agro Pastoralism,511,Trade,102,Pastoralism,89,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Pneumonia,Typhoid,8,10,10,50,50,Yes,453,27,Lack Of Security
373,2022-10-29,Turkana,Turkana Central,Sub Location Village Unit,1463,1000,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,200,2020 To 2022,Drought,Lack Of Water And Pasture,Drought,150,2020 To 2022,Kenya,Turkana North,Drought,Resource-Based Conflict,Resource-Based Conflict,350,Kenya,Turkana North,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Farming,1200,Pastoralism,1000,Trade,10,Loss Of Livelihood,Lack Of Access To Essential Services,Lack Of Food And Water,Malaria,Pneumonia,Typhoid,1,50,26,75,75,Yes,1965,20,Weather
374,2022-10-30,Turkana,Turkana South,Sub Location Village Unit,680,14,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,379,2020 To 2022,Drought,Drought,Resource-Based Conflict,1,Before 2020,Kenya,Turkana Central,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,300,Kenya,Turkana North,Wanted Or Needed To Rejoin Family,Have Not Found Assistance,Pastoralism,510,Trade,13,Other,157,Environmental Challenges,Loss Of Livelihood,Lack Of Food And Water,Malaria,Pneumonia,Typhoid,2,50,50,75,75,Yes,2,7,Weather
375,2022-10-24,Turkana,Loima,Sub Location Village Unit,801,501,2020 To 2022,Drought,Ethnic Clashes,Fires,220,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,16,2020 To 2022,Kenya,Loima,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,60,Uganda,Other,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Pastoralism,520,Trade,220,Farming,72,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Tuberculosis,3,38,50,25,25,Yes,303,10,Weather
376,2022-10-28,Turkana,Turkana Central,Sub Location Village Unit,4076,60,2020 To 2022,Drought,Drought,Ethnic Clashes,180,2020 To 2022,Drought,Lack Of Water And Pasture,Animal Disease,50,Before 2020,Kenya,Turkana North,Drought,Resource-Based Conflict,Resource-Based Conflict,230,Kenya,Endebess,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Trade,1350,Pastoralism,250,Other,120,Lack Of Food And Water,Loss Of Livelihood,Environmental Challenges,Pneumonia,Malaria,No Additional Challenge,2,26,26,75,50,Yes,1500,500,Lack Of Basic Services Water Electricity Etc
377,2022-10-30,Turkana,Turkana North,Sub Location Village Unit,564,52,Before 2020,Drought,Ethnic Clashes,Resource-Based Conflict,19,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,51,2020 To 2022,Kenya,Turkana Central,Drought,Resource-Based Conflict,Ethnic Clashes,34,Kenya,Turkana North,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,423,Trade,28,Employment (Includes Public And Private Sectors),16,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,3,50,50,25,25,Yes,10,150,Weather
378,2022-10-31,Turkana,Turkana North,Sub Location Village Unit,1348,100,2020 To 2022,Drought,Resource-Based Conflict,Fires,400,2020 To 2022,Drought,Lack Of Water And Pasture,Animal Disease,80,Before 2020,Kenya,Kibish,Resource-Based Conflict,Resource-Based Conflict,Flash Floods Or Seasonal Floods,70,Kenya,Turkana Central,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,810,Trade,10,Employment (Includes Public And Private Sectors),3,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,2,50,50,25,25,Yes,38,126,Weather
379,2022-10-28,Turkana,Turkana North,Sub Location Village Unit,811,10,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,3,2020 To 2022,Drought,Animal Disease,Animal Disease,0,2020 To 2022,Other,Other,Drought,Resource-Based Conflict,Resource-Based Conflict,6,Ethiopia,Other,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,500,Agro Pastoralism,500,Other,65,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,No Additional Challenge,No Additional Challenge,1,38,38,25,25,Yes,45,5,Weather
380,2022-10-31,Turkana,Turkana West,Sub Location Village Unit,549,29,Before 2020,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,85,Before 2020,Drought,Lack Of Water And Pasture,Banditry,52,Before 2020,Kenya,Turkana West,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,10,Kenya,Turkana West,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,468,Trade,66,Employment (Includes Public And Private Sectors),15,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,3,50,50,25,25,Yes,15,50,Weather
381,2022-10-31,Turkana,Turkana West,Sub Location Village Unit,2687,28,Before 2020,Resource-Based Conflict,Ethnic Clashes,Flash Floods Or Seasonal Floods,2000,Before 2020,Drought,Animal Disease,Lack Of Water And Pasture,800,Before 2020,Kenya,Turkana North,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,Kenya,Turkana North,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Agro Pastoralism,30,Trade,15,Employment (Includes Public And Private Sectors),8,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Malaria,No Additional Challenge,No Additional Challenge,1,10,50,25,25,No,110,30,Lack Of Security
382,2022-10-31,Turkana,Turkana West,Sub Location Village Unit,5956,650,Before 2020,Resource-Based Conflict,Flash Floods Or Seasonal Floods,Ethnic Clashes,1000,Before 2020,Drought,Animal Disease,Banditry,23,2020 To 2022,Kenya,Turkana West,Drought,Flash Floods Or Seasonal Floods,Flash Floods Or Seasonal Floods,6,Uganda,Other,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Other,4467,Trade,489,Employment (Includes Public And Private Sectors),200,Environmental Challenges,Safety And Security,Resource Based Conflict,Malaria,Pneumonia,Typhoid,8,10,38,75,50,Yes,650,170,Weather
383,2022-10-31,Turkana,Turkana South,Sub Location Village Unit,1296,160,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,30,2020 To 2022,Banditry,Drought,Flash Floods Or Seasonal Floods,300,2020 To 2022,Kenya,Cherangany,Drought,Resource-Based Conflict,Drought,70,Kenya,Cherangany,Have Returned With Assistance,Wanted Or Needed To Rejoin Family,Agro Pastoralism,1000,Pastoralism,150,Farming,80,Lack Of Food And Water,Environmental Challenges,Safety And Security,Acute Malnutrition,Malaria,Typhoid,1,26,38,25,25,Yes,480,20,Land And Property Issues
384,2022-10-27,Turkana,Loima,Sub Location Village Unit,780,0,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,100,Before 2020,Drought,Animal Disease,Resource-Based Conflict,50,2020 To 2022,Kenya,Loima,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,Kenya,Loima,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,710,Agro Pastoralism,50,Farming,20,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Diarrhea,Pneumonia,2,50,50,50,50,Yes,400,10,Weather
385,2022-10-28,Turkana,Loima,Sub Location Village Unit,1351,69,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,25,Before 2020,Drought,Animal Disease,Lack Of Water And Pasture,31,Before 2020,Kenya,Loima,Drought,Resource-Based Conflict,Resource-Based Conflict,19,Kenya,Loima,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,992,Farming,763,Employment (Includes Public And Private Sectors),2,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,2,50,50,25,25,Yes,416,30,Weather
386,2022-11-01,Turkana,Turkana South,Sub Location Village Unit,2016,0,2020 To 2022,Drought,Ethnic Clashes,Fires,81,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,50,2020 To 2022,Kenya,Kibish,Drought,Flash Floods Or Seasonal Floods,Flash Floods Or Seasonal Floods,0,Other,Other,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Pastoralism,1684,Trade,81,Employment (Includes Public And Private Sectors),28,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,No Additional Challenge,No Additional Challenge,2,10,50,50,50,Yes,83,48,Weather
387,2022-10-31,Turkana,Loima,Sub Location Village Unit,2210,400,Before 2020,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,2000,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,100,2020 To 2022,Kenya,Loima,Drought,Resource-Based Conflict,Resource-Based Conflict,50,Kenya,Loima,Have Not Found Assistance,Resource-Based Conflict,Other,2000,Trade,20,Pastoralism,200,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Tuberculosis,Pneumonia,Malaria,0,50,50,25,25,Yes,250,70,Lack Of Basic Services Water Electricity Etc
388,2022-11-01,Turkana,Turkana South,Sub Location Village Unit,709,41,Before 2020,Resource-Based Conflict,Drought,Drought,524,Before 2020,Drought,Animal Disease,Banditry,84,2020 To 2022,Kenya,Turkana South,Drought,Resource-Based Conflict,Resource-Based Conflict,79,Kenya,Soy,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Farming,493,Agro Pastoralism,163,Other,51,Safety And Security,Lack Of Food And Water,Loss Of Livelihood,Malaria,Typhoid,Pneumonia,0,50,10,25,25,Yes,198,111,Weather
389,2022-10-30,Turkana,Turkana South,Sub Location Village Unit,4863,300,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,1156,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,500,2020 To 2022,Kenya,Cherangany,Resource-Based Conflict,Resource-Based Conflict,Flash Floods Or Seasonal Floods,440,Kenya,Turkana South,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,3900,Trade,500,Employment (Includes Public And Private Sectors),250,Environmental Challenges,Safety And Security,Lack Of Food And Water,Malaria,Acute Malnutrition,Amoeba,16,38,38,25,25,Yes,3681,390,Weather
390,2022-10-28,Turkana,Turkana South,Sub Location Village Unit,2374,0,2020 To 2022,Drought,Resource-Based Conflict,Ethnic Clashes,150,2020 To 2022,Drought,Banditry,Lack Of Water And Pasture,5,2020 To 2022,Kenya,Mt.Elgon,Ethnic Clashes,Resource-Based Conflict,Resource-Based Conflict,1500,Kenya,Turkana North,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,2000,Trade,354,Employment (Includes Public And Private Sectors),20,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Acute Malnutrition,No Additional Challenge,No Additional Challenge,5,50,50,25,25,Yes,20,130,Lack Of Basic Services Water Electricity Etc
391,2022-11-01,Turkana,Turkana South,Sub Location Village Unit,1060,0,2020 To 2022,Drought,Resource-Based Conflict,Fires,120,2020 To 2022,Drought,Lack Of Water And Pasture,Flash Floods Or Seasonal Floods,628,2020 To 2022,Kenya,Kibish,Drought,Resource-Based Conflict,Resource-Based Conflict,0,Other,Other,Have Not Found Assistance,Have Not Found Assistance,Pastoralism,831,Trade,44,Other,0,Lack Of Food And Water,Environmental Challenges,No Additional Challenge,Malaria,Pneumonia,No Additional Challenge,2,10,10,100,100,Yes,8,7,Weather
392,2022-11-01,Turkana,Turkana East,Sub Location Village Unit,1483,10,Before 2020,Resource-Based Conflict,Resource-Based Conflict,Ethnic Clashes,40,Before 2020,Banditry,Lack Of Water And Pasture,Banditry,10,2020 To 2022,Kenya,Turkana South,Drought,Resource-Based Conflict,Ethnic Clashes,7,Kenya,Turkana South,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,800,Trade,200,Farming,40,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,No Additional Challenge,No Additional Challenge,3,38,50,75,75,Yes,250,20,Lack Of Security
393,2022-10-27,Turkana,Turkana West,Sub Location Village Unit,3681,0,2020 To 2022,Drought,Ethnic Clashes,Flash Floods Or Seasonal Floods,1526,Before 2020,Drought,Lack Of Water And Pasture,Animal Disease,60,Before 2020,Kenya,Turkana West,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,Kenya,Turkana West,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Other,2500,Farming,2500,Trade,1000,Environmental Challenges,Lack Of Food And Water,Lack Of Access To Essential Services,Malaria,Pneumonia,Acute Malnutrition,3,38,50,50,50,Yes,1681,500,Weather
394,2022-10-31,Turkana,Turkana West,Urban Settlement Or Town,2200,20,2020 To 2022,Drought,Resource-Based Conflict,Fires,30,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,25,2020 To 2022,Kenya,Turkana West,Drought,Resource-Based Conflict,Drought,15,Kenya,Turkana West,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,60,Trade,150,Farming,30,Lack Of Food And Water,Loss Of Livelihood,Environmental Challenges,Malaria,Pneumonia,Diarrhea,3,38,50,25,25,Yes,500,50,Weather
395,2022-11-02,Turkana,Turkana West,Sub Location Village Unit,300,40,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,23,2020 To 2022,Drought,Animal Disease,Banditry,34,2020 To 2022,Kenya,Loima,Drought,Ethnic Clashes,Resource-Based Conflict,0,Other,Other,Drought,Resource-Based Conflict,Other,159,Pastoralism,71,Trade,13,Lack Of Food And Water,Safety And Security,No Additional Challenge,Malaria,Pneumonia,Measles,1,38,50,100,100,No,0,0,Lack Of Security
396,2022-10-31,Turkana,Turkana East,Sub Location Village Unit,2055,13,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,200,2020 To 2022,Drought,Banditry,Banditry,330,2020 To 2022,Kenya,Samburu/North,Drought,Resource-Based Conflict,Resource-Based Conflict,27,Kenya,Webuye/East,Have Not Found Assistance,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
397,2022-10-31,Turkana,Turkana Central,Sub Location Village Unit,949,12,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,56,Before 2020,Drought,Animal Disease,Lack Of Water And Pasture,21,Before 2020,Kenya,Turkana Central,Drought,Resource-Based Conflict,Resource-Based Conflict,42,Kenya,Turkana Central,Have Not Found Assistance,Have Not Found Assistance,Pastoralism,732,Farming,201,Trade,52,Lack Of Food And Water,Resource Based Conflict,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,1,50,10,50,50,Yes,630,42,Weather
398,2022-11-02,Turkana,Turkana West,Sub Location Village Unit,2394,40,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,120,2020 To 2022,Drought,Lack Of Water And Pasture,Lack Of Water And Pasture,2000,2020 To 2022,Kenya,Turkana West,Resource-Based Conflict,Drought,Flash Floods Or Seasonal Floods,100,Kenya,Turkana West,Wanted Or Needed To Rejoin Family,Resource-Based Conflict,Other,1000,Pastoralism,900,Trade,494,Lack Of Food And Water,Loss Of Livelihood,Environmental Challenges,Malaria,Injury,Scabies,1,50,10,25,50,Yes,500,300,Weather
399,2022-10-31,Turkana,Turkana Central,Sub Location Village Unit,876,50,Before 2020,Drought,Resource-Based Conflict,Resource-Based Conflict,60,2020 To 2022,Drought,Animal Disease,Banditry,30,2020 To 2022,Kenya,Turkana North,Drought,Resource-Based Conflict,Resource-Based Conflict,10,Kenya,Turkana North,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,300,Other,400,Trade,176,Environmental Challenges,Loss Of Livelihood,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,1,26,50,50,50,Yes,500,200,Lack Of Basic Services Water Electricity Etc
400,2022-11-01,Turkana,Turkana South,Sub Location Village Unit,494,0,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,150,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,20,2020 To 2022,Kenya,Thika/Town,Drought,Resource-Based Conflict,Ethnic Clashes,100,Kenya,Turkana North,Have Not Found Assistance,Resource-Based Conflict,Pastoralism,400,Trade,50,Other,0,Lack Of Food And Water,Loss Of Livelihood,Resource Based Conflict,Acute Malnutrition,Other,No Additional Challenge,1,50,50,50,50,Yes,32,15,Lack Of Basic Services Water Electricity Etc
401,2022-11-13,Turkana,Loima,Sub Location Village Unit,1186,150,2020 To 2022,Drought,Resource-Based Conflict,Resource-Based Conflict,500,Before 2020,Drought,Resource-Based Conflict,Animal Disease,70,2020 To 2022,Kenya,Turkana Central,Drought,Resource-Based Conflict,Ethnic Clashes,50,Kenya,Turkana Central,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Other,1000,Trade,150,Pastoralism,200,Lack Of Food And Water,Environmental Challenges,No Additional Challenge,Malaria,Pneumonia,Acute Malnutrition,1,38,38,50,50,Yes,500,300,Lack Of Basic Services Water Electricity Etc
